NCM Code,Year,imports_usd_2025,Forecast,Type,horizon,lower_80,upper_80,lower_95,upper_95
11071010,2017,541.2244977894745,,Historical,,,,,
11071010,2018,516.5688227297408,,Historical,,,,,
11071010,2019,679.0343197258749,,Historical,,,,,
11071010,2020,661.68662504761,,Historical,,,,,
11071010,2021,815.0494773241576,,Historical,,,,,
11071010,2022,803.0812388603988,,Historical,,,,,
11071010,2023,909.2520922267624,,Historical,,,,,
11071010,2024,726.3718332930546,,Historical,,,,,
11071010,2025,546.450869,,Historical,,,,,
11072010,1997,0.1724872306105919,,Historical,,,,,
11072010,1998,7.314039331730061,,Historical,,,,,
11072010,1999,12.161106960354141,,Historical,,,,,
11072010,2000,2.882154511364692,,Historical,,,,,
11072010,2001,0.05590101181818182,,Historical,,,,,
11072010,2002,0.009740610055586437,,Historical,,,,,
11072010,2003,0.045959112940217386,,Historical,,,,,
11072010,2004,0.14970434715193223,,Historical,,,,,
11072010,2005,0.12336367817716332,,Historical,,,,,
11072010,2006,0.07203634318948414,,Historical,,,,,
11072010,2007,0.8061074354448204,,Historical,,,,,
11072010,2008,1.4188755908045871,,Historical,,,,,
11072010,2009,1.3133204115793544,,Historical,,,,,
11072010,2010,0.17161060765124556,,Historical,,,,,
11072010,2011,0.19744894619430156,,Historical,,,,,
11072010,2012,0.1432249098974712,,Historical,,,,,
11072010,2013,0.31633076030340357,,Historical,,,,,
11072010,2014,0.43424961483255614,,Historical,,,,,
11072010,2015,1.55698397563044,,Historical,,,,,
11072010,2016,1.8806342055523382,,Historical,,,,,
11072010,2017,2.3771061732294387,,Historical,,,,,
11072010,2018,2.5643102846276684,,Historical,,,,,
11072010,2019,5.335059566196113,,Historical,,,,,
11072010,2020,4.219340218781273,,Historical,,,,,
11072010,2021,8.265381873971288,,Historical,,,,,
11072010,2022,9.593753989697767,,Historical,,,,,
11072010,2023,7.459862715686145,,Historical,,,,,
11072010,2024,10.18513222240818,,Historical,,,,,
11072010,2025,8.762768,,Historical,,,,,
13021999,1997,0.0,,Historical,,,,,
13021999,1998,0.0,,Historical,,,,,
13021999,1999,0.0,,Historical,,,,,
13021999,2000,0.0,,Historical,,,,,
13021999,2001,0.0,,Historical,,,,,
13021999,2002,0.0,,Historical,,,,,
13021999,2003,0.0,,Historical,,,,,
13021999,2004,0.0,,Historical,,,,,
13021999,2005,0.0,,Historical,,,,,
13021999,2006,0.0,,Historical,,,,,
13021999,2007,24.41933198708414,,Historical,,,,,
13021999,2008,25.01353695588078,,Historical,,,,,
13021999,2009,27.56203608677757,,Historical,,,,,
13021999,2010,30.741754709519572,,Historical,,,,,
13021999,2011,34.635641805902935,,Historical,,,,,
13021999,2012,33.53570439398242,,Historical,,,,,
13021999,2013,40.38367436093785,,Historical,,,,,
13021999,2014,41.484261347682654,,Historical,,,,,
13021999,2015,42.20683908906534,,Historical,,,,,
13021999,2016,39.97847897422575,,Historical,,,,,
13021999,2017,46.830447133314294,,Historical,,,,,
13021999,2018,47.241445060400544,,Historical,,,,,
13021999,2019,42.95262141750861,,Historical,,,,,
13021999,2020,45.222296804092565,,Historical,,,,,
13021999,2021,50.18908875831641,,Historical,,,,,
13021999,2022,50.57749446741385,,Historical,,,,,
13021999,2023,48.86932174116021,,Historical,,,,,
13021999,2024,47.5184487326014,,Historical,,,,,
13021999,2025,49.348115,,Historical,,,,,
17025000,1997,0.7912195532274143,,Historical,,,,,
17025000,1998,1.0253450025705522,,Historical,,,,,
17025000,1999,0.8226107433433373,,Historical,,,,,
17025000,2000,1.2840720859639954,,Historical,,,,,
17025000,2001,0.9839221602428007,,Historical,,,,,
17025000,2002,1.1218380323012784,,Historical,,,,,
17025000,2003,1.2181010852336958,,Historical,,,,,
17025000,2004,1.3938666198676548,,Historical,,,,,
17025000,2005,1.4779755287711211,,Historical,,,,,
17025000,2006,1.6496832014087304,,Historical,,,,,
17025000,2007,2.953862970348506,,Historical,,,,,
17025000,2008,2.8585388695930853,,Historical,,,,,
17025000,2009,3.7402724488083634,,Historical,,,,,
17025000,2010,4.55598893772242,,Historical,,,,,
17025000,2011,7.312760081982226,,Historical,,,,,
17025000,2012,12.51448981613631,,Historical,,,,,
17025000,2013,12.718486345707575,,Historical,,,,,
17025000,2014,13.970064102194005,,Historical,,,,,
17025000,2015,11.352937523422371,,Historical,,,,,
17025000,2016,5.551624383997133,,Historical,,,,,
17025000,2017,8.4749406428484,,Historical,,,,,
17025000,2018,5.91352033924582,,Historical,,,,,
17025000,2019,5.1247477013537654,,Historical,,,,,
17025000,2020,3.2012723406617187,,Historical,,,,,
17025000,2021,4.678803547684245,,Historical,,,,,
17025000,2022,4.744501784442432,,Historical,,,,,
17025000,2023,6.460079359469252,,Historical,,,,,
17025000,2024,7.652117593782376,,Historical,,,,,
17025000,2025,6.932216,,Historical,,,,,
17026010,1997,0.1874169611339564,,Historical,,,,,
17026010,1998,0.10071483101840491,,Historical,,,,,
17026010,1999,0.008297858595438174,,Historical,,,,,
17026010,2000,0.0005365716666666667,,Historical,,,,,
17026010,2001,0.004850050389610389,,Historical,,,,,
17026010,2002,0.0011793242745969982,,Historical,,,,,
17026010,2003,0.0003779330869565217,,Historical,,,,,
17026010,2004,0.0018900729857067229,,Historical,,,,,
17026010,2005,0.026099966815156164,,Historical,,,,,
